epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1606.72,0.89707,0.93078,0.91651,0.74364,0.63885,0.70123,0.52493,1.02494,1.53777,0.97087,0.0033327,0.0033327,0.0033327
2,3013.14,0.79972,0.54433,0.89034,0.75364,0.64589,0.71929,0.54615,1.01591,1.47111,0.97552,0.00600609,0.00600609,0.00600609
3,4366.92,0.78489,0.49422,0.8898,0.76266,0.63755,0.70985,0.54348,1.03317,1.62706,0.9897,0.00801949,0.00801949,0.00801949
4,5597.36,0.75727,0.45721,0.88428,0.77004,0.6376,0.71396,0.54937,1.04522,1.94969,1.00385,0.00703,0.00703,0.00703
5,6863.94,0.72136,0.41541,0.87317,0.76637,0.65423,0.71751,0.55618,1.0372,1.91823,1.0009,0.00604,0.00604,0.00604
6,8032.75,0.69678,0.38827,0.86631,0.76046,0.64828,0.71244,0.55461,1.04542,2.10315,1.00155,0.00505,0.00505,0.00505
7,9205.72,0.67628,0.36611,0.86076,0.77587,0.63796,0.71399,0.55879,1.04052,2.15162,1.0008,0.00406,0.00406,0.00406
8,10348.3,0.6574,0.34726,0.85518,0.76806,0.63803,0.7109,0.55703,1.05352,2.20362,1.00716,0.00307,0.00307,0.00307
9,11669.5,0.63937,0.32876,0.85039,0.76059,0.64032,0.70851,0.55753,1.05626,2.22261,1.00996,0.00208,0.00208,0.00208
10,12997.7,0.62134,0.3114,0.84589,0.7576,0.63687,0.70661,0.5559,1.06241,2.27972,1.01237,0.00109,0.00109,0.00109
